country,mine_production_2023_kt,mine_production_2024_kt,refinery_production_2023_kt,refinery_production_2024_kt,reserves_kt
United States,1130,1100,882,890,47000
Australia,778,800,442,460,100000
Canada,500,450,315,320,8300
Chile,5250,5300,2080,1900,190000
China,1820,1800,12000,12000,41000
Congo (Kinshasa),2930,3300,2170,2500,80000
Germany,0,0,609,630,0
India,27,30,509,510,2200
Indonesia,907,1100,225,350,21000
Japan,0,0,1490,1600,0
Kazakhstan,740,740,458,470,20000
Korea Republic,0,0,604,620,0
Mexico,699,700,509,350,53000
Peru,2760,2600,403,390,100000
Poland,395,410,592,590,34000
Russia,890,930,1000,960,80000
Zambia,712,680,222,170,21000
Other countries,3020,2700,2460,2500,180000
World total,22600,23000,27000,27000,980000
