start_year,year,refined_usage_growth,industry_activity_growth,gdp_per_capita_growth,population_growth,refined_usage_start_kt,refined_usage_end_kt
1991,1992,0.028685032661175835,-4.519777965639182e-05,0.00411755631710542,0.01644697127849004,10563.0,10866.0
1992,1993,0.011595803423522844,-0.032531459195807244,0.002538366432938144,0.016001286351611244,10866.0,10992.0
1993,1994,0.051673944687045115,0.039565891996037994,0.018408755956979883,0.015468759281618505,10992.0,11560.0
1994,1995,0.041782006920415116,0.0325373963431983,0.016370998736031428,0.015161524135063775,11560.0,12043.0
1995,1996,0.03703396163746575,0.015161277845944454,0.020540061275504007,0.015013892629905046,12043.0,12489.0
1996,1997,0.047481783969893554,0.005462538016189011,0.024856003587079734,0.014745376837289381,12489.0,13082.0
1997,1998,0.02736584620088678,-0.006055702494625059,0.013142226561406734,0.01448000218975043,13082.0,13440.0
1998,1999,0.05825892857142856,0.03153368097187892,0.021413164242259253,0.014071208569626847,13440.0,14223.0
1999,2000,0.06320748084089156,0.06025896631668615,0.03150826034473431,0.013731114719662374,14223.0,15122.0
2000,2001,-0.012167702684830028,-0.01265426050577445,0.006703952055993945,0.013504956124769985,15122.0,14938.0
2001,2002,0.0130539563529255,0.0038152126664434682,0.009858851196750562,0.01320016387911327,14938.0,15133.0
2002,2003,0.03356902134408246,0.03063858770735628,0.017525395943624344,0.012988605442765033,15133.0,15641.0
2003,2004,0.07045585320631664,0.05933311540513109,0.031594456277662,0.012950175930613872,15641.0,16743.0
2004,2005,-0.011407752493579393,0.05783901139625258,0.02744758129807079,0.012792801190279146,16743.0,16552.0
2005,2006,0.022051715804736638,0.06481966515411464,0.03169185469845259,0.012794029821558306,16552.0,16917.0
2006,2007,0.06555535851510319,0.047494159719676965,0.03122547247623575,0.012690595370833169,16917.0,18026.0
2007,2008,-0.008265838233662448,0.0331234369185458,0.00805663557268188,0.01275663368507507,18026.0,17877.0
2008,2009,-0.0003915645801868539,-0.06666058872562608,-0.02561171259309225,0.012604144910777881,17877.0,17870.0
2009,2010,0.07084499160604363,0.08114548924883302,0.032564264737529935,0.012245491231543726,17870.0,19136.0
2010,2011,0.029943561872909807,0.05839738921962634,0.020628309319326688,0.012261931691946337,19136.0,19709.0
2011,2012,0.03906844588766556,0.026937484560867864,0.014620598769095716,0.012668515887461762,19709.0,20479.0
2012,2013,0.04536354314175495,0.01691274441320645,0.01630461859275445,0.012390830208382386,20479.0,21408.0
2013,2014,0.06997384155455899,0.02442631958383812,0.019320820594449728,0.01212974213964979,21408.0,22906.0
2014,2015,0.006111935737361351,-0.00244089267324199,0.019138081464998624,0.011906189480771934,22906.0,23046.0
2015,2016,0.01909225028204453,0.006739241140279795,0.015999816724986182,0.011710229177820608,23046.0,23486.0
2016,2017,0.008345397257940812,0.05251223052414766,0.022840083999171812,0.011366173949859615,23486.0,23682.0
2017,2018,0.03365425217464746,0.05125704135570741,0.021811664626976368,0.01081867080010257,23682.0,24479.0
2018,2019,-0.005228971771722657,0.004896493967621929,0.016108457911460983,0.010525086648773385,24479.0,24351.0
2019,2020,0.02472177733973968,-0.053497357472029106,-0.03834623076585675,0.009862294022620066,24351.0,24953.0
2020,2021,0.012263054542539953,0.10989839697413784,0.05601633183035726,0.008365928312874304,24953.0,25259.0
2021,2022,0.023674729799279426,0.042096858344289556,0.025467925580479278,0.00871034961042727,25259.0,25857.0
2022,2023,0.028889662373825287,-0.009817366380058035,0.01910599628373899,0.009309976670196063,25857.0,26604.0
2023,2024,0.02815366110359352,-0.0007674635792299656,0.019144296216821566,0.009670699071207656,26604.0,27353.0
