region,year,mine_production_kt,refined_production_kt,refined_consumption_kt
Africa,2025,4490,3124,193
Africa,2026,4589,3235,192
Africa,2027,4949,3467,173
North America,2025,2209,1604,2291
North America,2026,2313,1701,2321
North America,2027,2398,1721,2361
Latin America,2025,8761,2129,391
Latin America,2026,9101,2281,392
Latin America,2027,9504,2430,396
Asean-10,2025,746,500,1235
Asean-10,2026,827,686,1261
Asean-10,2027,1061,1042,1324
Asia ex Asean/CIS,2025,2839,16677,20120
Asia ex Asean/CIS,2026,3061,17680,20469
Asia ex Asean/CIS,2027,3309,18028,20907
Asia-CIS,2025,983,490,107
Asia-CIS,2026,1067,501,107
Asia-CIS,2027,1109,496,107
EU,2025,750,2391,2961
EU,2026,768,2585,2996
EU,2027,805,2920,3025
Europe Others,2025,1587,1286,903
Europe Others,2026,1747,1330,926
Europe Others,2027,1812,1432,942
Oceania,2025,832,454,
Oceania,2026,776,437,
Oceania,2027,883,461,
